,pressure,temperature,salinity
0,120.64,22.82,36.81
1,126.06,21.9,36.74
2,131.08,21.65,36.72
3,136.06,21.43,36.66
4,141.08,21.24,36.63
5,146.06,21.12,36.6
6,151.08,20.91,36.57
7,156.09,20.84,36.58
8,161.12,20.78,36.56
9,166.07,20.45,36.5
10,171.09,20.17,36.44
11,176.13,19.85,36.38
12,181.02,19.54,36.33
13,186.07,19.16,36.27
14,191.06,19.06,36.26
15,196.04,18.88,36.2
16,201.11,18.57,36.15
17,206.04,18.38,36.13
18,211.06,18.29,36.1
19,215.58,17.9,36.03
20,220.08,17.68,36.0
21,225.08,17.47,35.97
22,230.11,17.29,35.95
23,235.09,17.09,35.9
24,240.14,16.95,35.89
25,245.06,16.72,35.83
26,250.1,16.53,35.79
27,255.08,16.35,35.76
28,260.02,16.21,35.75
29,265.06,16.09,35.71
30,270.09,15.96,35.69
31,275.02,15.91,35.68
32,280.08,15.74,35.65
33,285.04,15.59,35.63
34,290.0,15.4,35.6
35,295.08,15.26,35.59
36,300.06,15.19,35.57
37,305.05,15.1,35.57
38,310.08,14.99,35.54
39,315.04,14.84,35.52
40,320.08,14.75,35.52
41,325.12,14.69,35.5
42,330.14,14.6,35.49
43,335.08,14.51,35.48
44,340.08,14.43,35.48
45,345.04,14.33,35.47
46,350.1,14.24,35.45
47,355.06,14.12,35.46
48,360.07,14.0,35.43
49,365.08,13.93,35.41
50,370.08,13.79,35.39
51,375.09,13.68,35.39
52,380.11,13.56,35.35
53,385.21,13.46,35.34
54,390.1,13.38,35.34
55,395.08,13.23,35.3
56,400.1,13.11,35.3
57,405.06,13.02,35.29
58,410.0,12.94,35.28
59,415.1,12.85,35.25
60,420.01,12.75,35.24
61,425.04,12.63,35.23
62,430.11,12.45,35.2
63,435.04,12.32,35.19
64,440.09,12.19,35.16
65,445.1,12.07,35.16
66,450.14,11.92,35.14
67,455.03,11.81,35.1
68,460.02,11.66,35.11
69,465.14,11.54,35.07
70,470.08,11.4,35.05
71,475.09,11.24,35.02
72,480.06,11.13,35.0
73,485.06,11.0,34.98
74,490.04,10.93,34.97
75,495.06,10.81,34.96
76,500.1,10.66,34.95
77,505.03,10.62,34.94
78,510.08,10.59,34.93
79,515.08,10.5,34.92
80,520.06,10.34,34.91
81,524.12,10.26,34.89
82,528.06,10.23,34.89
83,533.01,10.15,34.89
84,538.12,10.08,34.87
85,543.1,10.05,34.87
86,548.02,9.95,34.85
87,553.06,9.88,34.83
88,558.02,9.78,34.82
89,563.06,9.62,34.8
90,568.09,9.49,34.79
91,573.1,9.39,34.76
92,578.07,9.25,34.76
93,583.06,9.1,34.75
94,588.16,8.95,34.72
95,593.04,8.86,34.72
96,598.07,8.82,34.72
97,603.04,8.77,34.71
98,608.06,8.67,34.72
99,613.08,8.58,34.72
100,618.08,8.5,34.69
101,623.06,8.45,34.68
102,628.09,8.38,34.68
103,633.07,8.27,34.68
104,638.14,8.05,34.66
105,643.1,7.98,34.65
106,648.05,7.92,34.63
107,653.08,7.85,34.62
108,657.54,7.76,34.61
109,662.04,7.72,34.61
110,667.12,7.59,34.6
111,672.04,7.49,34.59
112,677.08,7.38,34.58
113,682.04,7.28,34.54
114,687.06,7.1,34.55
115,691.12,6.99,34.53
116,696.05,6.93,34.55
117,701.08,6.84,34.53
118,706.08,6.71,34.53
119,711.09,6.59,34.53
120,716.08,6.47,34.52
121,721.03,6.39,34.51
122,726.09,6.33,34.5
123,731.05,6.23,34.5
124,736.04,6.09,34.5
125,741.08,6.04,34.47
126,746.06,5.96,34.47
127,751.08,5.85,34.47
128,756.05,5.79,34.45
129,761.08,5.72,34.44
130,766.1,5.66,34.44
131,770.09,5.56,34.42
132,775.1,5.42,34.42
133,780.12,5.37,34.41
134,785.09,5.32,34.4
135,790.09,5.27,34.4
136,795.08,5.23,34.4
137,800.05,5.18,34.4
138,805.09,5.13,34.4
139,810.1,5.08,34.4
140,814.58,5.08,34.4
141,819.06,5.05,34.4
142,824.04,5.1,34.43
143,829.05,5.04,34.43
144,834.08,5.0,34.43
145,839.08,4.97,34.43
146,844.1,4.89,34.42
147,849.14,4.87,34.42
148,854.08,4.83,34.43
149,859.07,4.77,34.42
150,864.08,4.73,34.42
151,869.05,4.7,34.42
152,873.64,4.69,34.42
153,878.14,4.68,34.42
154,883.12,4.66,34.42
155,888.1,4.63,34.42
156,893.08,4.57,34.43
157,898.04,4.56,34.43
158,903.1,4.54,34.43
159,908.12,4.5,34.42
160,913.08,4.46,34.43
161,918.08,4.45,34.43
162,923.08,4.41,34.43
163,927.58,4.38,34.43
164,932.07,4.33,34.43
165,937.1,4.3,34.43
166,942.05,4.28,34.43
167,947.1,4.24,34.43
168,952.08,4.21,34.43
169,957.13,4.17,34.42
170,962.04,4.13,34.43
171,967.06,4.1,34.43
172,972.09,4.07,34.43
173,977.12,4.03,34.43
174,982.04,3.99,34.43
175,987.1,3.97,34.43
176,992.06,3.95,34.44
177,997.08,3.94,34.44
178,1002.12,3.88,34.44
179,1007.07,3.85,34.44
180,1012.08,3.84,34.45
181,1017.04,3.83,34.45
182,1022.07,3.82,34.45
183,1027.02,3.81,34.45
184,1032.12,3.8,34.46
185,1037.04,3.81,34.46
186,1042.04,3.81,34.46
187,1047.08,3.81,34.46
188,1052.12,3.81,34.47
189,1057.02,3.79,34.47
190,1062.06,3.77,34.48
191,1067.09,3.76,34.48
192,1072.03,3.76,34.48
193,1077.03,3.75,34.48
194,1082.09,3.72,34.48
195,1087.12,3.71,34.48
196,1092.1,3.7,34.48
197,1097.07,3.68,34.49
198,1102.09,3.67,34.49
199,1107.01,3.65,34.5
200,1112.08,3.65,34.5
201,1117.04,3.64,34.5
202,1122.09,3.64,34.5
203,1127.02,3.63,34.5
204,1132.07,3.63,34.5
205,1137.01,3.62,34.51
206,1142.03,3.61,34.51
207,1147.11,3.61,34.52
208,1152.08,3.6,34.52
209,1157.05,3.59,34.52
210,1162.03,3.59,34.53
211,1167.07,3.59,34.53
212,1172.07,3.58,34.54
213,1177.05,3.58,34.54
214,1182.03,3.59,34.55
215,1187.06,3.59,34.55
216,1192.09,3.58,34.55
217,1197.08,3.58,34.56
218,1202.1,3.59,34.56
219,1206.53,3.58,34.56
220,1211.12,3.59,34.56
221,1216.05,3.59,34.57
222,1220.11,3.59,34.57
223,1225.13,3.59,34.57
224,1229.6,3.59,34.57
225,1234.04,3.59,34.58
226,1239.01,3.59,34.59
227,1243.53,3.6,34.59
228,1248.12,3.6,34.59
229,1253.09,3.6,34.59
230,1257.57,3.6,34.59
231,1262.11,3.6,34.6
232,1267.11,3.6,34.61
233,1272.1,3.61,34.61
234,1277.06,3.62,34.62
235,1282.07,3.62,34.62
236,1287.01,3.63,34.62
237,1292.08,3.64,34.63
238,1296.6,3.65,34.63
239,1300.61,3.65,34.63
240,1304.05,3.65,34.64
241,1309.07,3.66,34.64
242,1314.07,3.67,34.64
243,1319.02,3.67,34.65
244,1324.06,3.68,34.65
245,1329.16,3.68,34.66
246,1334.14,3.69,34.66
247,1339.05,3.69,34.66
248,1344.09,3.69,34.67
249,1349.1,3.71,34.67
250,1354.04,3.71,34.67
251,1359.04,3.72,34.68
252,1364.04,3.73,34.68
253,1368.12,3.74,34.69
254,1373.1,3.74,34.69
255,1377.56,3.75,34.7
256,1382.09,3.76,34.7
257,1387.12,3.77,34.71
258,1392.14,3.8,34.72
259,1397.05,3.81,34.72
260,1402.08,3.82,34.73
